temperature_C,pressure_mTorr,power_W,flow_sccm,gas,thickness_nm,sheet_resistance_ohm
110.88350499762046,4.158490462703767,182.79391245451714,32.644583859229726,O2,206.85894773399232,12.143597255187036
223.47184552189358,16.394216540289314,216.99200556452195,11.920572420467808,Ar,289.2337020894174,10.951371843369637
121.63639552978647,6.674386669414572,64.52861053801853,12.266760169320051,Ar,90.40162478222388,22.05927354306213
183.49820564883706,4.050807091523934,76.97563799908211,40.46032059649525,Ar,151.84607303051303,12.254379673229776
155.65416451736843,3.8892270437319834,84.53267680853259,53.02448083742115,Ar,143.4492400167954,13.634629352127714
236.12332432645414,14.151201233362887,152.94109021196982,31.98171586460162,N2,232.65783310552274,15.678915661454381
252.5713793375126,3.4150802307014434,128.9339652500669,8.047867100771837,N2,222.71335140551875,17.566955486297147
157.83118681015748,14.210427897701402,70.26070558590646,46.955570613931364,Ar,104.52787427007468,17.539579739612332
244.6652433389386,5.833896863779014,104.66929969707913,47.0347733319835,N2,191.9928667795748,18.28180599654123
160.62935759155133,8.700540638766729,122.521640695277,23.81605883726322,N2,146.43013381986233,14.742765334661588
231.81681657703646,4.2882832913610915,140.9393950752928,39.9514756750161,O2,250.52175395835062,9.49896917202968
229.8265397088671,12.44271675395905,180.91822273760076,14.654431510578227,Ar,253.96264694279284,11.387433908687656
208.29277655166186,9.324574829669341,138.2437924501217,15.672184969049379,N2,201.28472596117174,14.14006122700947
144.3055182163408,8.301282421403606,192.1164144537622,41.437329259531055,Ar,194.45118221966482,12.222371809169333
130.65116971134026,14.874770200291438,146.47490246933526,31.966580125633083,O2,172.06103400810505,13.360149347944573
173.6556708390517,9.34424176662052,117.14931227666676,35.679503341733,O2,178.38524087039008,8.834689629988144
132.73081295289603,13.065093397046587,188.95639694120882,32.61417491183252,N2,146.80442844539846,17.196197624409724
240.99094231820774,14.511825233491829,89.82056746918241,52.201978283178775,Ar,169.03611794647676,16.30668931234493
136.86901362317022,11.838100131864987,202.28624508579688,45.068532443230225,O2,215.25845822575454,10.967031945197245
